team_size,project_budget,project_duration,requirement_change_count,average_sprint_delay,bug_count,testing_coverage,code_complexity,developer_experience,communication_frequency,task_completion_rate,client_change_requests,previous_project_success_rate,risk_level,delay,budget_overrun,quality_issues,requirement_instability
12,351727.61,8,2,0.82,50,63.61,10,3.73,0,61.55,1,82.4,Low,0,1,0,0
28,15000.0,20,5,0.0,59,52.09,5,3.45,8,100.0,3,81.64,Low,0,0,0,0
9,286973.89,6,4,0.19,60,51.02,9,0.62,6,57.41,4,83.07,Low,1,0,0,0
41,163945.05,7,8,3.58,47,72.49,3,3.54,6,85.18,2,71.14,Low,0,0,0,0
29,485484.39,23,5,5.04,53,61.94,8,2.38,0,61.12,2,94.78,Medium,0,0,0,0
21,161175.72,16,6,3.67,46,18.92,3,4.31,4,55.95,7,72.01,Low,1,0,0,0
15,368707.16,5,6,1.87,60,58.44,1,5.51,6,63.33,2,68.2,Low,0,0,0,1
34,178555.51,20,7,5.55,54,55.01,2,3.21,8,95.53,3,92.99,Low,0,0,0,0
40,270474.67,5,6,1.31,55,84.63,5,5.73,2,48.52,3,68.87,Low,0,0,0,1
56,382630.58,4,3,0.0,66,39.64,2,3.77,6,82.51,6,43.37,Low,1,0,0,0
27,166739.97,11,3,2.71,64,96.5,8,3.87,0,91.51,1,81.02,Low,0,0,0,0
11,429379.88,16,3,4.78,53,77.42,1,3.76,8,63.17,7,91.53,Low,1,0,0,1
50,71134.38,5,5,0.51,47,57.0,10,4.03,0,87.95,5,77.27,Low,0,0,0,0
38,303026.71,18,1,0.0,65,54.46,4,1.2,6,85.46,8,65.48,Low,1,0,0,0
42,416075.15,4,5,2.28,55,50.51,5,0.2,10,59.09,3,76.7,Low,0,1,0,1
7,368806.75,18,2,3.74,54,67.75,8,7.18,3,56.8,3,84.29,Low,0,0,0,0
20,594960.08,3,6,0.0,46,47.82,8,5.01,1,69.54,3,53.42,Low,0,0,0,0
46,112580.92,11,6,4.15,59,59.89,9,3.2,7,73.73,3,35.26,Low,1,0,0,0
50,15000.0,15,8,0.0,42,42.44,10,7.05,3,66.08,3,69.53,Low,0,0,0,0
27,71019.68,7,10,3.65,66,74.83,4,11.37,7,81.04,4,90.67,Low,0,0,0,0
48,368879.66,15,5,0.0,61,65.05,7,0.9,5,59.62,1,51.55,Low,0,0,1,0
50,339626.13,16,4,0.0,55,53.58,7,4.41,3,57.41,3,48.95,Low,1,0,0,1
24,268406.2,15,7,3.44,50,57.65,8,6.1,0,72.06,2,75.64,Low,0,1,1,0
54,47867.73,10,10,4.63,71,49.53,3,0.59,4,75.66,3,67.82,Low,0,0,0,1
18,388036.11,18,10,2.18,51,67.64,10,0.84,10,92.99,7,59.53,Low,1,0,0,0
15,29553.14,17,7,6.99,47,39.41,3,6.79,10,79.27,7,92.94,Low,0,1,0,1
41,458610.92,8,5,0.15,63,78.24,8,4.37,0,83.35,5,59.92,Low,0,0,1,1
38,764338.92,17,18,0.13,49,65.12,9,2.84,2,66.48,6,78.46,Low,1,0,0,0
10,315961.21,22,6,1.6,49,53.92,2,0.56,10,66.59,6,87.11,Low,1,0,0,1
50,354959.46,19,5,1.5,45,72.58,6,5.28,9,61.83,5,68.26,Low,1,0,1,0
13,161285.24,17,4,2.77,61,69.0,10,1.14,0,74.92,5,87.15,Low,0,0,1,1
48,15000.0,18,8,0.71,56,43.18,2,2.05,4,74.33,5,84.03,Low,0,1,0,1
2,141510.51,19,7,3.34,59,85.53,9,2.21,4,73.55,8,75.3,Low,0,0,0,0
48,53278.86,7,5,3.29,58,17.06,9,3.69,10,68.76,5,65.26,Low,0,0,1,0
47,15000.0,17,5,5.43,54,81.61,3,1.86,8,71.32,8,97.77,Low,0,0,0,0
47,560024.79,5,5,1.22,70,59.06,8,2.22,8,98.51,5,88.33,Low,0,1,1,1
40,299115.25,9,6,2.87,58,79.83,10,6.77,0,76.39,2,85.3,Low,1,0,0,0
29,318343.76,22,3,3.41,50,87.93,4,4.9,7,81.33,6,73.04,Low,0,0,1,0
42,194375.97,7,6,2.19,58,54.31,1,4.54,8,79.5,8,62.29,Low,0,1,0,0
18,218883.21,20,5,1.78,55,55.15,3,5.55,4,69.21,6,37.17,Low,1,0,0,0
47,423619.12,10,7,0.0,56,67.66,10,1.96,5,80.59,2,81.43,Low,0,0,0,0
34,244179.32,5,6,2.37,66,41.59,10,5.37,2,72.33,1,66.0,Low,0,0,0,0
28,345524.91,3,4,3.39,53,56.03,9,5.52,5,52.0,8,75.98,Low,0,0,1,0
31,214719.23,13,8,2.08,62,54.5,6,2.04,3,62.71,1,100.0,Low,1,0,0,1
34,188412.48,11,5,0.64,44,40.65,3,5.93,2,100.0,5,94.51,Low,1,0,0,1
4,15000.0,12,4,0.0,51,53.56,7,5.07,10,90.67,2,80.06,Low,1,0,0,0
10,15000.0,1,6,3.11,58,75.55,9,5.13,2,67.22,2,70.19,Low,0,1,1,0
16,202918.86,7,8,2.27,56,74.26,9,8.5,2,82.8,1,86.05,Low,0,0,0,1
8,260169.4,1,6,4.98,59,58.81,1,4.79,8,75.5,5,88.3,Low,0,1,0,1
27,18496.59,7,7,0.0,60,63.12,8,2.28,1,99.88,3,65.03,Low,1,0,1,0
40,243794.52,22,2,1.26,57,56.52,10,4.81,0,69.93,6,67.29,Low,1,0,0,0
39,259675.46,4,11,0.0,62,30.3,2,4.53,6,75.59,7,76.22,Low,0,1,0,0
29,15000.0,16,5,4.25,48,43.7,7,1.84,3,59.25,0,58.38,Low,0,0,1,1
51,85277.56,1,8,4.68,62,79.26,7,0.2,7,69.85,4,59.64,Low,0,0,0,0
34,323307.5,13,2,6.05,50,83.55,6,4.34,3,28.14,3,51.71,Low,1,0,0,0
6,319670.57,22,6,3.24,56,46.55,8,6.76,1,76.16,8,100.0,Low,0,0,1,0
46,42338.52,8,14,3.78,60,82.14,10,6.79,2,88.06,2,47.73,Low,0,0,0,0
35,278520.65,5,6,3.07,53,40.39,7,5.18,4,99.08,5,48.38,Low,0,0,0,1
38,434033.3,14,4,3.35,54,52.69,1,8.27,3,79.7,2,30.92,Low,0,0,0,0
34,389873.13,7,4,2.3,56,59.86,6,4.92,6,66.15,4,83.13,Low,0,1,0,0
34,232848.56,21,5,3.44,52,57.08,6,4.03,1,58.86,6,54.95,Low,0,0,0,1
7,165764.26,20,12,6.48,42,49.54,3,4.99,7,64.4,1,85.63,Medium,0,1,0,1
34,136717.99,16,6,2.64,49,64.28,8,2.74,1,46.42,2,71.12,Medium,1,0,0,0
48,334207.56,15,6,2.25,62,75.98,6,1.46,6,67.97,0,94.91,Low,0,0,0,0
19,285118.72,14,4,2.6,55,35.83,2,2.15,6,52.39,2,56.7,Low,0,0,1,0
36,363292.72,17,1,1.9,56,64.27,8,3.35,1,62.44,2,73.06,Low,1,0,0,1
3,273737.29,11,6,2.69,63,79.37,1,6.58,6,68.73,6,92.0,Low,0,0,1,0
22,397377.51,23,7,1.83,49,54.57,9,1.03,10,77.27,4,93.87,Low,0,0,0,0
27,267026.66,8,10,4.49,54,52.16,7,2.16,10,45.58,5,91.55,Low,0,0,0,0
58,391243.97,1,8,4.29,46,46.69,10,6.43,8,66.51,7,81.98,Low,0,0,0,0
14,406748.1,17,9,6.53,60,98.01,4,3.64,5,82.98,6,71.54,Low,0,0,1,1
18,105185.21,16,5,2.15,54,88.88,3,4.02,8,94.4,4,82.51,Low,0,0,0,0
25,15000.0,23,6,2.78,56,56.69,5,3.6,4,70.81,1,48.43,Low,0,0,0,0
59,527828.71,10,4,2.69,63,83.25,9,9.14,3,100.0,1,65.21,Low,1,0,0,0
51,296198.57,10,7,2.6,61,52.53,7,5.84,1,83.2,3,97.39,Low,0,0,0,0
4,15000.0,13,5,4.46,52,59.2,5,5.1,5,72.99,8,88.61,Low,0,0,0,0
15,121512.49,10,5,0.0,53,42.92,4,4.97,8,91.89,5,50.04,Low,1,0,0,0
49,388937.37,19,3,3.12,46,28.82,8,5.48,9,63.89,5,78.34,Medium,0,0,0,1
5,199658.17,10,6,6.19,73,51.56,3,8.94,4,55.23,6,55.77,Low,0,0,1,0
51,157828.94,19,10,4.93,49,54.35,1,3.6,7,86.86,2,66.88,Low,0,0,0,1
18,502158.73,10,5,4.7,69,69.68,3,4.9,8,80.49,3,98.67,Low,0,0,0,0
55,61488.31,6,6,3.88,43,73.79,3,4.57,2,88.71,4,39.25,Low,1,1,0,0
19,106332.4,23,4,1.01,56,59.79,2,6.67,2,88.34,0,49.0,Low,0,0,1,0
27,288049.57,13,5,0.7,58,44.16,4,8.59,6,100.0,7,74.72,Low,0,0,0,1
40,320281.89,17,9,0.72,51,50.16,8,3.09,6,48.78,8,80.45,Low,0,0,0,0
9,339341.75,14,9,0.0,61,90.64,3,5.59,0,66.33,9,66.58,Low,1,0,0,0
34,414022.85,9,7,4.09,47,73.32,2,4.92,7,67.39,4,92.85,Low,1,0,1,1
31,285744.15,23,7,5.14,61,87.61,4,1.16,5,90.67,6,67.88,Low,1,1,0,0
47,338089.11,9,10,3.07,62,93.99,10,6.83,3,77.96,3,76.89,Low,0,0,0,0
59,203342.33,23,8,3.81,57,50.17,10,8.25,5,90.73,5,73.04,Medium,0,0,0,0
40,261285.69,10,6,2.79,71,76.76,1,6.47,5,76.53,4,67.41,Low,0,0,0,0
25,269356.15,1,7,3.34,41,45.76,1,2.98,7,71.7,3,85.44,Low,0,1,1,0
25,288717.66,1,7,0.0,54,80.6,4,1.24,0,82.89,7,57.47,Low,0,1,0,0
26,389057.17,23,5,2.83,57,76.9,2,6.04,9,76.18,5,95.27,Low,0,1,1,0
49,349926.22,13,4,1.35,52,23.95,9,1.91,2,78.24,7,89.37,Low,1,0,0,0
20,257959.06,9,8,2.12,65,69.25,2,2.15,9,82.43,10,89.65,Low,0,0,0,0
11,104357.32,19,7,2.65,48,46.58,1,5.0,1,78.94,5,100.0,Low,0,0,0,0
21,262180.83,15,5,0.77,60,55.87,3,6.27,3,87.72,3,79.59,Low,1,1,0,0
3,244956.8,16,3,0.05,49,50.13,6,3.69,4,72.83,4,74.23,Low,0,1,1,1
8,284772.68,16,8,0.71,50,78.34,2,4.0,1,74.71,4,80.43,Low,0,0,0,1
7,647174.56,5,2,0.0,44,49.7,3,4.23,0,55.99,2,64.61,Low,0,1,0,0
46,155720.9,3,5,0.0,55,38.98,6,2.3,0,87.73,6,70.46,Low,0,0,0,1
43,326012.02,17,9,0.16,59,47.46,10,3.59,9,99.38,4,57.03,Low,1,0,0,0
42,442323.17,1,10,0.0,50,58.14,9,0.62,1,43.17,1,96.47,Low,0,0,1,0
28,267640.34,17,6,3.26,47,69.38,3,6.27,8,82.26,3,53.9,Low,0,0,1,0
43,670812.12,3,6,0.4,65,83.53,3,11.19,0,69.66,6,57.28,Low,0,0,0,1
11,181952.93,7,4,0.0,60,71.24,1,4.64,9,69.05,4,68.18,Low,0,0,0,0
54,308336.06,17,12,1.4,60,72.51,3,7.36,2,82.04,5,52.15,Low,1,0,0,1
31,106214.97,15,7,0.0,52,75.29,7,3.87,10,71.52,5,60.29,Low,0,0,0,0
56,186725.55,18,9,5.12,51,76.71,6,1.27,5,78.28,7,65.61,Low,1,1,0,1
10,294808.1,15,3,2.47,46,80.6,4,9.9,6,66.25,3,86.32,Low,0,1,0,0
30,402334.73,2,7,0.0,38,100.0,1,2.47,5,96.08,8,45.95,Low,1,0,1,0
42,307437.07,20,7,3.34,41,76.42,10,6.77,8,68.27,5,62.62,Low,0,0,0,1
30,476640.67,5,8,2.37,48,67.16,4,5.02,2,59.82,1,77.4,Low,1,1,0,1
27,232906.24,4,6,1.72,59,53.63,10,7.35,5,77.55,3,81.01,Low,1,0,0,0
11,190209.66,21,4,5.35,65,67.58,8,4.34,2,58.64,3,100.0,Low,0,0,0,0
24,736717.32,5,4,0.25,59,82.77,8,1.71,8,75.76,5,98.34,Low,0,0,0,0
15,320962.78,13,5,4.27,50,40.07,5,2.9,9,98.35,5,100.0,Low,0,0,1,0
19,120493.32,12,8,1.38,65,84.65,2,10.15,5,71.28,4,44.37,Low,1,0,0,0
41,125032.52,18,12,2.16,69,54.32,3,5.27,6,50.33,1,78.03,Low,0,0,0,1
38,80317.62,2,2,0.7,53,57.83,7,9.73,8,65.36,3,83.32,Low,1,0,0,0
37,418582.48,3,8,0.83,54,71.39,6,3.62,4,85.0,3,49.99,Low,1,1,0,0
22,184412.09,10,5,1.33,49,52.52,1,6.21,3,73.71,6,67.75,Low,0,0,0,0
57,272925.25,11,6,0.0,50,70.26,9,1.42,10,83.22,2,86.61,Low,0,0,0,0
7,238568.44,19,4,2.89,50,41.26,1,4.57,7,61.88,1,87.65,Low,0,0,0,0
21,381668.63,14,6,2.43,57,77.77,5,9.84,0,65.41,5,94.97,Low,0,0,0,0
8,97586.06,4,7,0.0,63,65.53,2,2.62,6,82.14,3,74.38,Low,0,0,0,0
21,56396.99,23,9,3.52,59,61.93,2,2.84,4,97.77,3,62.28,Low,0,0,0,0
57,290373.52,11,4,5.11,56,66.94,5,6.49,2,65.8,5,82.94,Low,0,0,0,1
23,358172.67,23,4,0.87,60,61.64,4,4.78,8,72.6,4,75.66,Low,1,1,0,0
54,309855.82,23,4,0.63,60,69.95,5,9.05,7,89.6,2,80.46,Low,0,0,0,0
30,104298.33,2,5,4.43,40,58.27,10,3.92,5,74.1,3,38.52,Low,0,0,0,1
42,371947.27,12,5,3.01,69,56.76,8,4.67,4,82.2,4,72.13,Low,1,0,1,0
28,116105.03,10,4,1.93,59,30.18,4,5.26,2,60.16,3,79.7,Low,0,0,1,0
17,156123.04,12,7,3.83,57,86.57,6,1.92,6,72.06,1,72.11,Low,0,1,1,0
46,80088.37,8,6,2.75,49,41.07,4,1.38,9,62.06,5,69.66,Low,0,0,0,0
58,484208.5,13,7,5.06,53,91.08,3,1.16,7,45.03,4,69.64,Low,0,1,0,0
17,364015.88,12,9,2.17,51,57.64,5,0.2,0,57.85,1,56.26,Low,0,1,0,0
47,358898.81,5,2,3.05,57,83.92,2,4.3,7,79.17,5,87.53,Low,0,0,0,0
17,474498.06,7,9,4.4,60,80.76,3,1.38,4,80.83,2,66.72,Low,0,0,0,0
43,756276.86,4,7,0.0,57,79.32,6,3.21,7,84.3,2,26.81,Low,0,0,0,1
47,15000.0,20,7,4.47,52,62.84,8,6.95,4,80.14,5,61.01,Low,1,0,0,0
28,117092.22,16,8,1.19,61,40.5,7,2.23,4,68.45,2,58.25,Low,0,0,0,0
44,139088.48,9,7,3.2,60,58.72,10,6.16,4,42.67,5,66.15,Low,1,1,0,0
17,96852.47,10,9,5.53,62,56.34,3,0.71,6,53.69,4,60.35,Medium,0,0,1,0
6,56035.02,2,8,1.59,49,60.16,2,2.86,9,89.68,7,70.03,Low,1,1,0,0
7,196062.45,7,4,1.29,63,39.9,7,8.68,9,58.53,4,75.56,Low,0,0,0,0
27,31011.33,22,3,2.09,64,56.85,6,3.47,1,70.81,4,57.75,Low,0,0,1,0
54,310307.63,1,4,0.0,64,9.39,9,7.59,0,73.0,2,72.94,Low,0,1,1,0
9,259305.7,4,5,6.6,58,56.59,2,10.15,9,49.84,4,83.96,Low,0,0,0,0
28,336585.16,20,3,2.11,59,64.26,3,3.49,8,77.32,4,65.58,Low,0,1,0,0
42,341391.12,12,10,5.49,49,47.93,5,2.9,3,96.44,3,83.87,Low,0,0,0,1
13,358541.23,1,4,1.53,52,57.14,9,0.2,1,71.7,2,95.82,Low,1,1,0,0
43,182786.39,12,8,2.27,57,64.93,2,5.2,1,67.69,2,55.03,Low,0,0,0,0
19,631805.81,18,5,4.09,68,80.23,10,5.41,5,53.47,2,77.32,Low,1,0,0,1
48,292197.6,8,3,0.0,60,80.98,2,6.35,3,67.62,2,100.0,Low,0,0,1,0
35,15000.0,9,10,1.99,59,67.5,10,7.84,1,80.66,7,76.33,Low,0,0,1,0
33,69572.37,15,5,4.01,53,61.47,7,2.04,8,71.9,9,57.13,Low,1,0,0,0
12,15000.0,14,5,1.77,58,68.39,2,8.99,8,64.96,3,80.8,Low,1,0,0,1
28,253120.23,21,7,1.23,56,94.4,10,3.82,5,88.09,3,68.98,Low,1,0,0,0
51,228075.06,6,6,4.43,59,71.03,1,5.37,0,67.81,9,49.21,Low,0,0,0,0
3,165683.37,7,8,5.0,55,66.69,4,4.34,1,65.15,5,68.95,Low,1,0,1,1
45,611966.7,4,5,5.32,64,81.31,8,2.65,7,74.26,5,51.38,Low,0,1,0,0
30,348816.92,16,1,0.85,51,62.86,4,1.62,4,92.91,1,42.43,Low,0,0,0,0
43,380697.71,13,2,1.04,46,46.64,4,5.0,4,69.53,2,87.62,Low,0,0,0,0
40,82406.77,8,3,1.26,53,70.26,3,2.19,8,57.83,8,29.88,Low,0,0,0,1
27,70153.92,16,6,3.64,68,65.07,2,3.97,2,80.73,1,97.14,Low,1,0,0,0
19,256624.99,9,5,0.0,59,58.07,6,3.51,10,66.69,3,82.24,Low,1,0,1,1
38,281141.29,5,3,0.0,59,71.79,5,3.63,10,80.88,4,98.9,Low,0,0,0,0
10,15000.0,13,7,0.77,68,29.37,9,0.2,6,39.22,6,100.0,Low,0,0,0,1
35,217544.74,11,9,0.32,54,52.27,6,0.2,3,72.59,3,92.23,Low,0,0,0,1
7,252532.97,10,6,3.97,48,46.18,6,6.51,10,68.02,3,64.29,Low,1,0,0,0
39,211273.15,11,6,3.83,64,48.05,2,7.2,2,56.65,5,60.84,Low,0,0,0,0
38,103589.73,22,4,1.24,53,59.23,3,0.2,9,52.59,8,74.04,Low,0,1,0,0
6,152883.67,5,5,1.81,48,45.62,1,5.5,4,67.52,3,89.89,Low,0,1,1,0
45,218165.35,7,3,0.0,58,92.19,10,5.02,9,54.89,1,100.0,Low,0,0,0,0
26,266344.0,13,1,1.29,38,70.13,8,1.32,3,24.55,1,53.92,Low,1,0,1,1
47,358862.48,2,6,4.69,56,47.7,3,6.65,7,53.2,2,86.61,Low,0,0,0,0
4,444554.12,4,6,1.18,49,30.67,5,7.23,8,52.5,2,72.72,Low,0,0,0,0
12,197017.41,14,7,0.01,56,51.5,6,7.04,4,72.47,4,72.76,Low,0,0,0,1
30,167891.88,12,5,4.95,57,56.07,3,8.69,0,52.98,3,83.71,Low,0,0,0,0
12,328778.02,16,10,0.0,54,50.57,2,6.9,3,71.99,7,25.66,Low,1,0,0,1
21,359952.08,3,7,5.29,56,100.0,10,2.5,7,56.75,6,72.51,Low,0,0,0,0
40,171843.92,20,5,7.98,58,32.22,4,4.54,8,84.52,8,49.74,Medium,0,0,1,0
10,392270.83,12,4,1.98,39,62.92,8,5.43,4,77.99,2,85.23,Low,0,1,1,1
41,426325.36,4,5,4.69,55,59.66,7,8.15,9,67.2,6,77.63,Low,1,0,0,0
7,482503.56,8,6,0.0,62,57.52,5,3.9,8,74.3,5,100.0,Low,0,0,0,0
12,570097.76,6,7,0.0,71,27.09,7,2.98,1,81.2,6,98.91,Low,1,0,1,0
36,94045.1,11,4,0.61,49,61.23,3,0.53,3,72.98,4,61.15,Low,0,0,1,1
48,252501.68,11,8,3.84,51,65.25,3,6.6,5,74.26,4,76.97,Low,1,0,0,0
11,252029.99,10,4,2.2,62,74.77,8,5.0,0,38.28,6,100.0,Low,0,0,0,0
19,232346.76,11,2,1.83,58,70.7,8,2.42,3,63.71,1,80.64,Low,1,0,0,0
55,133132.67,21,5,0.0,64,83.93,8,6.35,8,59.54,5,85.04,Low,1,0,0,1
59,15000.0,23,5,1.95,60,25.17,7,3.68,9,88.81,4,100.0,Low,0,0,1,0
35,266682.3,12,3,0.91,51,57.77,9,1.32,1,65.75,4,98.92,Low,1,1,0,0
27,111695.98,23,8,0.36,60,100.0,4,7.69,6,61.2,4,76.01,Low,0,1,0,0
22,265478.83,19,4,0.19,68,81.08,1,0.2,5,81.29,4,91.89,Low,1,0,0,0
37,107072.16,19,5,2.58,62,35.84,3,4.85,9,47.7,5,88.9,Low,0,0,0,0
36,52061.5,6,5,0.76,47,63.59,7,4.23,9,70.62,8,100.0,Low,1,0,1,1
19,292173.7,11,4,2.19,51,43.15,6,0.57,10,40.38,4,74.65,Low,1,0,1,0
3,277165.87,9,5,0.0,55,54.23,3,5.28,10,60.48,4,95.64,Low,0,0,1,0
10,354270.75,3,4,3.21,52,97.99,8,2.84,8,64.59,3,65.68,Low,0,0,0,0
57,643455.48,2,11,2.68,41,79.25,10,8.54,2,95.31,3,81.48,Low,0,0,1,1
26,299912.12,15,3,1.74,66,34.64,2,6.91,2,69.62,4,89.27,Low,0,0,0,0
